#OTU ID	Acidaminococcus_intestini	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_coprocola	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_plebeius	Bacteroides_salyersiae	Bacteroides_sp_CAG_144	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Catenibacterium_mitsuokai	Clostridium_sp_CAG_58	Collinsella_aerofaciens	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Intestinibacter_bartlettii	Lachnospira_pectinoschiza	Lawsonibacter_asaccharolyticus	Methanobrevibacter_smithii	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_sp_CAG_409	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Slackia_isoflavoniconvertens	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_parvula
Bacteroides_thetaiotaomicron	0.0099	0.0891	0.0891	0.0495	0.0297	0.1881	0.0297	0.4059	0.0990	0.0396	0.0891	0.3960	0.0099	0.0099	0.0099	0.0495	0.0099	0.0396	0.0099	0.3069	0.0099	0.2970	0.0297	1.0000	0.0099	0.0198	0.0099	0.5941	0.0099	0.0099	0.0099	0.3069	0.0198	0.0099	0.0693	0.5347	0.2673	0.0396	0.3267	0.0099	0.0099	0.1089	0.0099	0.0099	0.0198	0.2673	0.0099	0.0099	0.5743	0.4950	0.0792	0.0495	0.1089	0.9703	0.8911	0.4851	0.0495	0.9208	0.0792	0.3267	0.0099	0.1386	0.1584	0.5149	0.7228	0.2772	0.0297	0.5446	0.5941	0.0099	0.0099	0.9406	0.1683	0.0099	0.0594	0.0297	0.2079	0.1188	0.0693	0.0594	0.8119	0.2178	0.6238	0.7426	0.5446	0.1089	0.2277	0.5644	0.1287	0.8614	0.1683	0.0099	0.0099	0.0792	0.6337
Bacteroides_uniformis	0.2178	0.0099	0.0099	0.0099	0.5941	0.0099	0.0099	0.0099	0.0396	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.0099	0.7921	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.0099	0.0099	0.0099	0.0693	0.0099	0.0099	0.8317	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.4158	0.1980	0.0099	0.0099	0.0099	0.1188	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1386	0.0792	0.1287	0.0693	0.0099	0.2871	0.0594	0.4455	0.0198	0.0099	0.0099	0.0099	0.2376	0.0099	0.9505	0.0594	0.3762	0.0099	0.0198	0.7822	0.0099	0.0099	0.8218	0.3564	0.3168	0.0099	0.2079	0.9010	0.2772	0.1584	0.6733	0.0198	0.0099	0.0099	0.0396	0.0099	0.9208	0.1584	0.0099	0.0099	0.0099	0.0099
Bacteroides_vulgatus	0.1188	0.0198	0.0099	0.0297	0.9802	0.0099	0.0099	0.0099	0.0099	0.0099	0.0594	0.1485	0.0297	0.0099	0.0099	0.0099	0.1089	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.0198	0.0099	1.0000	0.0198	0.0099	0.1287	0.1386	0.0099	0.0297	0.9505	0.0099	0.0099	0.0099	0.4851	0.5050	0.0099	0.1881	0.0693	0.0099	0.0099	0.0099	0.0099	0.4851	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.9406	0.2574	0.8812	0.1683	0.1287	0.6634	0.4455	0.5050	0.0099	0.0099	0.0099	0.1386	0.1881	0.0099	0.1188	0.0990	0.0099	0.0099	0.3861	0.3069	0.0099	0.0099	0.4950	0.0594	0.3861	0.0990	0.4356	0.2574	0.0693	0.1980	0.3663	0.0297	0.0099	0.0099	0.5842	0.0099	0.0297	0.4752	0.0099	0.0099	0.0099	0.2079
Bacteroides_xylanisolvens	0.0099	0.0099	0.0198	0.0099	0.0396	0.0198	0.0099	0.0594	0.2079	0.0396	0.1485	0.3762	0.0099	0.1980	0.0099	0.0198	0.0198	0.0297	0.4554	0.4158	0.1584	0.4554	0.7624	0.0099	0.0099	0.0198	1.0000	0.0693	0.0099	0.0099	0.0099	0.2871	0.0198	0.0099	0.0099	0.0891	0.0594	0.0198	0.2772	0.1287	0.0198	0.0198	0.0198	0.0099	0.1188	0.5842	0.0099	0.1485	0.0099	0.1683	0.1683	0.0099	0.0297	0.0198	0.3267	0.6733	0.9703	0.9406	0.8119	0.1287	0.0198	0.0792	0.0891	0.0891	0.8911	0.2574	0.0495	0.5545	0.4554	0.3168	0.0099	0.1287	0.5644	0.0099	0.0198	0.4356	0.0099	0.1089	0.9307	0.3465	0.9703	0.0594	0.8515	0.1980	0.9703	0.2970	0.6337	0.6634	0.4455	0.2673	0.8317	0.0099	0.0099	0.0495	0.8812
Barnesiella_intestinihominis	0.0099	0.0099	0.0099	0.0099	0.5149	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0693	0.0396	0.0099	0.0099	0.0198	0.1287	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.5941	0.0099	0.0099	0.0693	1.0000	0.4059	0.2673	0.0099	0.0099	0.5446	0.1485	0.0099	0.0099	0.0099	0.4257	0.0099	0.0495	0.2772	0.0099	0.1485	0.0099	0.4554	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.4554	0.0198	0.0297	0.0198	0.0198	0.0099	0.0198	0.0693	0.0099	0.0099	0.0099	0.0099	0.8812	0.0099	0.5347	0.0099	0.8911	0.0099	0.0396	0.1089	0.0099	0.0099	0.0099	0.6535	0.0495	0.0198	0.0099	0.7030	0.0099	0.0297	0.2079	0.0099	0.3762	0.0099	0.8515	0.0099	0.0792	0.0891	0.0099	0.0099	0.0099	0.0099
Bifidobacterium_adolescentis	0.0198	0.0594	0.0297	0.1485	0.2079	0.8119	0.0099	0.0198	0.0297	1.0000	0.0792	0.1188	0.0099	0.0099	0.0792	0.0297	0.0495	0.0198	0.4950	0.2376	0.0099	0.0495	0.4059	0.0099	0.0099	0.1287	0.0099	0.4059	1.0000	0.0099	0.0099	0.5743	0.1683	0.0099	0.0099	0.0495	0.0297	0.0099	0.1089	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.8119	0.0099	0.0099	0.3564	0.0594	0.1188	0.0099	0.0198	0.9604	0.0198	0.0297	0.9307	0.0693	0.0693	0.0099	0.0693	0.0099	0.0396	0.8713	0.5743	0.0099	0.5248	0.6238	0.0198	0.1188	0.0099	0.4356	0.9604	0.0297	0.2772	0.5149	0.0099	0.0198	0.2178	0.0099	0.6733	0.0495	0.3366	0.0693	0.4455	0.6832	0.0099	0.0099	0.0495	0.5050	0.4950	0.0099	0.0099	0.8713	0.1386
Bifidobacterium_bifidum	0.0099	0.8812	0.0792	0.6931	0.3465	0.1980	0.3861	0.7525	0.8317	0.1089	0.0198	0.3465	0.1089	0.6139	0.1584	0.2178	0.0594	0.9208	1.0000	0.7129	0.0198	0.7624	0.9010	0.0099	0.0693	0.1386	0.0099	0.2673	0.0099	1.0000	0.0099	0.0891	0.2079	0.0693	0.0099	0.1980	0.6634	0.0099	0.0099	0.0099	0.0099	0.0990	0.0099	0.2277	0.1782	0.1089	0.0396	0.0297	0.8713	0.0099	0.3861	0.0891	0.4752	0.4356	0.6535	0.1782	0.6436	0.4950	0.4257	0.5050	0.6931	0.4257	0.7327	0.0396	0.0396	0.0297	0.3168	0.2376	0.1188	0.0396	0.3663	0.4158	0.5644	0.0990	0.5149	0.0891	0.0099	0.0594	0.0099	0.0891	0.7129	0.0495	0.6931	0.1881	0.8515	0.6139	0.0099	0.0099	0.0495	0.6436	0.5545	0.1386	0.0099	0.2178	0.1881
Bifidobacterium_longum	0.7426	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1089	0.7624	0.0396	0.0099	0.0099	0.0099	0.9604	0.0099	0.3168	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.4356	0.0099	0.0099	0.0099	0.0099	0.0099	0.3861	0.6535	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.2772	0.0099	0.0099	0.0099	0.3663	0.0099	0.8713	0.0990	0.0099	0.0099	0.9208	0.0297	0.0099	0.7525	0.0099	0.4059	0.5149	0.0099	0.2079	0.4851	0.3366	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.5941	0.0099	0.4653	0.4356	0.0198	0.0198	0.3366	0.1683	0.0891	0.0099	0.4554	0.0198	0.1089	0.6040	0.0099	0.0099	0.0297	0.6337
Bifidobacterium_pseudocatenulatum	0.1089	0.0099	0.0099	0.0594	0.1089	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.7030	0.0198	0.8218	0.0099	0.0099	0.5545	0.2079	0.0792	0.0099	0.0198	0.0099	0.0495	0.3069	0.0099	0.0297	0.2871	0.0099	0.5743	0.0891	0.0099	1.0000	0.1881	0.2673	0.0099	0.0099	0.0099	0.0099	0.0891	0.6733	0.9505	0.0099	0.2673	0.0693	0.8020	0.0792	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.1386	0.9109	0.3366	0.5842	0.0891	0.3861	0.0693	0.0099	0.9703	0.0099	0.0099	0.3465	0.0099	0.5545	0.7723	0.5050	0.0099	0.0693	0.1089	0.0099	0.0099	0.0396	0.3465	0.0099	0.0198	0.0099	0.0099	0.0198	0.0099	0.0594	0.7921	0.3267	0.0099	0.0099	0.4554	0.0198	0.7624	0.0099	0.0198	0.0099	0.0099
Bilophila_wadsworthia	0.5842	0.2673	0.0198	0.0396	0.0099	0.2178	0.2475	0.0198	0.9208	0.5149	0.0099	0.0297	0.3069	0.0495	0.8119	0.2871	0.0396	0.3861	0.0297	0.0099	0.8713	0.9406	0.0792	0.0198	0.8317	0.9505	0.0198	0.5446	0.1683	0.2079	0.4356	0.1881	1.0000	0.1089	0.1782	0.9010	0.0099	0.0099	0.5446	0.0099	0.0099	0.0099	0.0099	0.0297	0.0099	0.0792	0.0396	0.0099	0.0099	0.0396	0.0099	0.0396	0.4851	0.0099	0.6931	0.0198	0.6238	0.0099	0.0990	0.5347	0.0099	0.0495	0.9307	0.0099	0.0099	0.2970	0.5248	0.5545	0.0396	0.9109	0.3663	0.1485	0.3960	0.3465	0.1287	0.0099	0.0396	0.0099	0.0891	0.0099	0.0099	0.0099	0.1980	0.0099	0.6139	0.0396	0.0297	0.7228	0.1089	0.2772	0.3069	0.2772	0.8218	0.0099	0.0099
Blautia_hydrogenotrophica	0.0594	0.0099	0.2079	0.0297	0.5347	0.0099	0.0099	0.0891	0.0099	0.0297	0.3861	0.0099	0.0693	0.6040	0.0594	0.1089	0.5644	0.0693	0.0099	0.9901	0.0099	0.2277	0.3663	0.0099	0.0099	0.0099	0.0099	0.1485	0.0099	0.0693	0.0099	0.2673	0.1089	1.0000	0.1386	0.2772	0.1188	0.2376	0.4455	0.0099	0.9109	0.0099	0.0792	0.9802	0.9802	0.7624	0.1881	0.0396	0.0099	0.0792	0.0099	0.8515	0.4554	0.2376	0.4653	0.2475	0.8119	0.0099	0.5644	0.8119	0.0099	0.0099	0.0099	0.0099	0.2277	0.9802	0.0198	0.2970	0.0099	0.4851	0.0198	0.0099	0.1485	0.0099	0.0099	0.0396	0.0990	0.0198	0.2178	0.0099	0.0297	0.0891	0.5941	0.0099	0.1188	0.0099	0.0099	0.6634	0.0099	0.0099	0.8515	0.0099	0.0099	0.0099	0.0099
Blautia_obeum	0.0099	0.0099	0.0099	0.0198	0.0396	0.0594	0.0099	0.0099	0.0099	0.0198	0.3762	0.0099	0.0099	0.0099	0.0099	0.0099	0.0792	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0693	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1782	0.1386	1.0000	0.0099	0.0099	0.0099	0.5149	0.1089	0.0099	0.1287	0.0099	0.0099	0.0099	0.1386	0.0099	0.0099	0.0099	0.2079	0.1386	0.0099	0.0099	0.0693	0.0099	0.2970	0.8317	0.0099	0.0099	0.2475	0.1386	0.0099	0.0099	0.0099	0.7327	0.6931	0.0099	0.0099	0.2772	0.1584	0.0099	0.4158	0.1683	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.0891	0.0495	0.0099	0.2871	0.5941	0.9505	0.0198	0.1881	0.5644	0.0099	0.0792	0.8416	0.0099	0.0099	0.0495	0.0990
Blautia_wexlerae	0.0099	0.0099	0.0099	0.0099	0.4257	0.0099	0.0099	0.0099	0.0099	0.0099	0.1386	0.7822	0.5644	0.0198	0.0099	0.0099	0.3069	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.5347	0.0099	0.0099	0.0891	0.0099	0.0495	0.1980	0.0099	0.0099	0.9010	0.2772	0.0099	1.0000	0.0099	0.0099	0.3861	0.0297	0.4752	0.0099	0.9604	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1287	0.0198	0.0099	0.0099	0.9703	0.0099	0.8713	0.4257	0.0099	0.0099	0.5743	0.0198	0.0099	0.0099	0.0099	0.0099	0.7030	0.0099	0.0693	0.9010	0.0099	0.0099	0.0099	0.0198	0.0198	0.0099	0.0099	0.4059	0.2970	0.0099	0.6832	0.2871	0.0792	0.7921	0.7228	0.0099	0.2475	0.0099	0.0396	0.0099	0.0297	0.8020	0.0099	0.0099	0.0099	0.0693
Butyricimonas_synergistica	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.6436	0.0198	0.0099	0.0099	0.0594	0.7228	0.0198	0.3663	0.0099	0.0099	0.0099	0.0693	0.2673	0.0099	0.4851	0.0594	0.0099	0.0297	0.6634	0.0099	0.0099	0.0099	0.1188	0.0099	0.0099	1.0000	0.0099	0.8218	0.0891	0.0891	0.0099	0.0198	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.1287	0.3366	0.0099	0.0099	0.0297	0.0099	0.6832	0.7624	0.0099	0.0099	0.3168	0.0099	0.0099	0.1089	0.0099	0.0099	0.1386	0.0099	0.4851	0.3366	0.1584	0.0099	0.0990	0.3564	0.0099	0.0099	0.0198	0.5644	0.5743	0.0297	0.8416	0.6832	0.0495	0.0396	0.6634	0.0198	0.5743	0.0297	0.4950	0.0099	0.0693	0.0792	0.0594	0.0495	0.0099	0.2970
Butyricimonas_virosa	0.5050	0.0495	0.0099	0.0099	0.0099	0.0990	0.0099	0.0099	0.0099	0.4752	0.0099	0.7921	0.0297	0.6634	0.0099	0.0099	0.9604	0.3960	0.9604	0.0198	0.0099	0.0099	0.8020	0.0396	0.0099	0.5050	0.0198	0.4257	0.0099	0.0099	0.0099	0.0099	0.0099	0.2376	0.0099	0.0099	0.0099	1.0000	0.7426	0.0495	0.0099	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1485	0.5545	0.4554	0.0099	0.0099	0.0594	0.0099	0.1782	0.0990	0.0099	0.0099	0.0198	0.0198	0.0099	0.2970	0.8911	0.8020	0.5842	0.0198	0.0495	0.0099	0.0297	0.0099	0.0396	0.4950	0.0099	0.0594	0.2376	0.0099	0.0099	0.2079	0.0099	0.1881	0.1386	0.6634	0.5446	0.6139	1.0000	0.0693	0.7624	0.0495	0.0198	0.6040	0.2178	0.1188	0.5248	0.1683
Catenibacterium_mitsuokai	0.1683	0.5743	1.0000	0.0099	0.0099	0.0099	0.0099	0.5842	0.0396	0.3960	0.0099	0.1782	0.7426	0.2871	0.1881	0.2475	0.1782	0.7921	0.0495	0.0198	0.7129	0.6733	0.8812	0.3267	0.0099	0.0099	0.2772	0.0099	0.1089	0.0099	0.3861	0.0891	0.5446	0.4455	0.5149	0.3861	0.8218	0.7426	1.0000	0.4158	0.3168	0.0099	0.3762	0.5644	0.2079	0.4158	0.6040	0.0099	0.2772	0.3465	0.3465	0.1287	0.0495	0.3069	0.6337	0.4653	0.0396	0.2871	0.2277	0.2772	0.7525	0.0099	0.5941	0.5941	0.0099	0.0099	0.1089	0.1584	0.0990	0.2178	0.0099	0.0693	0.9901	0.0099	0.0693	0.1485	0.3861	0.5545	0.0099	0.6634	0.6634	0.1683	0.2178	0.6238	0.0099	0.2673	0.9109	0.0099	0.9802	0.8020	0.0099	0.0099	0.0099	0.0792	0.0099
Clostridium_sp_CAG_58	0.2079	0.2673	0.8218	0.5941	0.0099	0.1782	0.6535	0.6436	0.6436	0.2574	0.0099	0.7030	0.3960	0.0396	0.0297	0.2376	0.3762	0.2772	0.3861	0.0198	0.8713	0.1881	0.1089	0.0099	0.4158	0.1881	0.1287	0.0495	0.0396	0.0099	0.6535	0.6733	0.0099	0.0099	0.1089	0.0297	0.0891	0.0495	0.4158	1.0000	0.2277	0.4059	0.4455	0.1782	0.0297	0.2079	0.6436	0.0198	0.0099	0.1980	0.4653	0.6634	0.5446	0.0495	0.4356	0.5644	0.0198	0.0693	0.0594	0.7624	0.0099	0.3069	0.8317	0.0099	0.0396	0.0099	0.4356	0.5347	0.0099	0.6832	0.6931	0.0198	0.8416	0.1782	0.0198	0.0297	0.6337	0.0099	0.0594	0.0099	0.9208	0.1881	0.5644	0.9307	0.0297	0.7030	0.0099	0.4455	0.6535	0.0099	0.6337	0.5743	0.8911	0.0297	0.1485
Collinsella_aerofaciens	0.0297	0.0396	0.0099	0.3762	0.0297	0.0198	0.1089	0.0990	0.4653	0.1683	0.0099	0.2673	0.4356	0.8020	0.8812	0.8020	0.0495	0.3366	0.0099	0.2970	0.0792	0.0198	0.7921	0.0099	0.1980	0.0693	0.0198	0.2772	0.0099	0.0099	0.0099	0.9505	0.0099	0.9109	0.0099	0.4752	0.0891	0.0099	0.3168	0.2277	1.0000	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.7426	0.0099	0.0099	0.0099	0.8515	0.3366	0.0099	0.0297	0.0099	0.7822	0.0198	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.2871	0.4059	0.0099	0.0594	0.7525	0.3861	0.1089	0.2970	0.2079	0.8812	0.5842	0.0099	0.0099	0.0099	0.7228	0.3069	0.0099	0.0495	0.0198	0.1584	0.1980	0.0693	0.0099	0.4851	0.0198	0.5347	0.3168	0.0198	0.0099
Collinsella_stercoris	0.0792	0.0099	0.9703	0.0099	0.5149	0.0099	0.0099	0.8317	0.0099	0.0297	0.4752	0.0297	0.0099	0.0099	0.0198	0.0396	0.9604	0.0495	0.0198	0.0099	0.0099	0.0099	0.0198	0.1089	0.0099	0.0099	0.0198	0.0099	0.0099	0.0990	0.0099	0.0099	0.0099	0.0099	0.1287	0.0099	0.0099	0.0396	0.0099	0.4059	0.0099	1.0000	0.0693	0.5743	0.3663	0.0198	0.0891	0.4356	0.0099	0.0099	0.0099	0.3267	0.0297	0.0891	0.0099	0.6733	0.3267	0.0099	0.0099	0.4158	0.0099	0.1782	0.0099	0.0099	0.0099	0.0693	0.0099	0.4752	0.0099	0.5743	0.0099	0.0099	0.8119	0.0099	0.0099	0.0099	0.2475	0.0594	0.8812	0.0099	0.1386	0.0099	0.6832	0.0891	0.0198	0.0198	0.0099	0.8317	0.6733	0.0099	0.0495	0.0099	0.0099	0.0099	0.0099
Coprobacter_fastidiosus	0.8614	0.5248	0.0099	0.3861	0.1287	0.0891	0.0099	0.0198	0.6535	0.4752	0.0099	0.0792	0.0198	0.3663	0.0396	0.0099	0.1881	0.0099	0.0099	0.0990	0.5347	0.0891	0.1287	0.0099	0.0099	0.0099	0.0198	0.1485	0.0099	0.0099	0.0198	0.2673	0.0099	0.0792	0.0099	0.9604	0.0198	0.0099	0.3762	0.4455	0.0099	0.0693	1.0000	0.0099	0.0099	0.1089	0.0099	0.0099	0.8911	0.0396	0.4158	0.0099	0.1683	0.5050	0.6733	0.6931	0.8911	0.0297	0.2277	0.3168	0.0990	0.0099	0.0792	0.1881	0.5149	0.0099	0.1485	0.5941	0.5644	0.0297	0.0099	0.1584	0.5248	0.0099	0.1287	0.0396	0.0099	0.0198	0.0099	0.0198	0.1485	0.6436	0.1881	0.5842	0.7525	0.1782	0.6832	0.1881	0.2574	0.9010	0.2079	0.0198	0.0693	0.7426	0.1980
Coprococcus_catus	0.0099	0.0099	0.0099	0.0495	0.8317	0.8614	0.0693	0.0099	0.0099	0.0198	0.0099	0.2574	0.0990	0.1188	0.3861	0.0099	0.2277	0.1089	0.0099	0.0495	0.0198	0.0396	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.2277	0.0099	0.0693	0.0297	0.9802	0.0099	0.0099	0.0297	0.0099	0.5644	0.1782	0.0099	0.5743	0.0099	1.0000	0.0099	0.0099	0.0099	0.0099	0.3366	0.5842	0.0495	0.0099	0.0099	0.0495	0.9010	0.0099	0.8614	0.1287	0.8515	0.2673	0.0099	0.0099	0.0099	0.9505	0.0297	0.0297	0.6832	0.0099	0.0198	0.0396	0.0198	0.3366	0.2574	0.2277	0.0099	0.0297	0.0594	0.0099	0.8020	0.0099	0.0099	0.0099	0.1386	0.4257	0.7921	0.1089	0.6139	0.9505	0.0099	0.4851	0.6337	0.8119	0.1386	0.1287	0.0099
Coprococcus_comes	0.0297	0.0990	0.0099	0.2673	0.0792	0.4752	0.0099	0.0099	0.0099	0.6139	0.0297	0.5050	0.4158	0.0198	0.0099	0.1485	0.0099	0.1089	0.0099	0.1881	0.0099	0.0099	0.0099	0.0198	0.1188	0.0099	0.1188	0.4554	0.0099	0.1782	0.0099	0.8020	0.0099	0.9802	0.0099	0.0099	0.0099	0.0099	0.2079	0.0297	0.0099	0.3663	0.0099	0.0099	1.0000	0.1683	0.0099	0.0099	0.3762	0.3168	0.6436	0.0099	0.0099	0.3663	0.0297	0.0099	0.0198	0.0099	0.0297	0.3267	0.3960	0.0099	0.0693	0.8812	0.0099	0.0693	0.0990	0.0099	0.0099	0.1485	0.1386	0.6733	0.0099	0.4257	0.1584	0.1584	0.0099	0.0099	0.4653	0.0099	0.1188	0.6535	0.0099	0.0396	0.1584	0.0099	0.0693	0.9307	0.0099	0.8317	0.8416	0.1980	0.0891	0.6139	0.0099
Dialister_invisus	0.7525	0.4158	0.8812	0.0198	0.4059	0.0099	0.0099	0.0990	0.5050	0.0099	1.0000	0.1287	0.5149	0.2277	0.0495	0.0792	0.1485	0.1782	0.5644	0.0099	0.0099	0.0099	0.4059	0.2673	0.0099	0.4851	0.5842	0.0099	0.8119	0.1089	0.0099	0.0792	0.0792	0.7624	0.1386	0.0099	0.0099	0.0099	0.4158	0.2079	0.0099	0.0198	0.1089	0.0099	0.1683	1.0000	0.0495	0.9901	0.0099	0.0099	0.2475	0.0297	0.1683	0.1782	0.0099	0.0099	0.0792	0.3465	0.0099	0.6634	0.0099	0.0099	0.0990	0.0099	0.0099	0.0099	0.0099	0.6040	0.6139	0.1386	0.0099	0.3564	0.5743	0.0099	0.0099	0.0099	0.7624	0.0099	0.0099	0.0099	0.0297	0.1485	0.1881	0.4158	0.0594	0.9703	0.0099	0.3762	0.0099	0.0297	0.6931	0.0099	0.0198	0.0099	0.0099
Dorea_formicigenerans	0.0198	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.7129	0.0099	0.0099	0.0099	0.0396	0.0198	0.1485	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0396	0.0099	0.0099	0.0396	0.1881	0.0099	0.0099	0.0099	0.0099	0.6040	0.6436	0.0099	0.0891	0.0099	0.0099	0.0099	0.0495	1.0000	0.0099	0.0099	0.8614	0.0198	0.0099	0.0099	0.0594	0.0099	0.0099	0.0396	0.0099	0.0099	0.0297	0.6535	0.0099	0.1386	0.0198	0.6139	0.1089	0.0099	0.0099	0.0297	0.5644	0.0099	0.0297	0.0198	0.0099	0.0099	0.0099	0.0099	0.0594	0.0297	0.2277	0.1089	0.1089	0.8713	0.2871	0.0495	0.1683	0.0198	0.1683	0.0099	0.1287	0.9604	0.0099	0.0099	0.0099	0.2079
Dorea_longicatena	0.3663	0.4752	0.0099	0.0198	0.0099	0.2376	0.0099	0.0099	0.0891	0.5446	0.0099	0.5248	0.0099	0.0099	0.1584	0.1089	0.1881	0.4752	0.0198	0.4653	0.0099	0.0099	0.1584	0.0099	0.0099	0.0198	0.1485	0.0099	0.0099	0.0297	0.0099	0.0297	0.0099	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.4356	0.0099	0.0099	0.0099	0.9901	0.0099	1.0000	0.8614	0.7129	0.1584	0.0099	0.0099	0.5149	0.0198	0.0099	0.0495	0.0099	0.0099	0.0990	0.6040	0.0099	0.1485	0.4554	0.1188	0.0099	0.0297	0.1287	0.0099	0.2970	0.0099	0.1485	0.0099	0.1584	0.0099	0.0396	0.0693	0.0099	0.0198	0.0099	0.0198	0.1782	0.9802	0.1089	0.0099	0.7921	0.2475	0.1683	0.0099	0.0495	0.9307	0.2277	0.4158	0.8614	0.0891
Eggerthella_lenta	0.0792	0.0099	0.0099	0.0099	0.9208	0.0099	0.0099	0.0099	0.0099	0.0099	0.2079	0.0693	0.1584	0.0099	0.0099	0.0099	0.0198	0.0099	0.5446	0.0099	0.0693	0.0099	0.0099	0.5743	0.0099	0.0099	0.0099	0.0099	0.3564	0.8713	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1485	0.2772	0.0099	0.0099	0.0099	0.8911	0.3366	0.3762	0.0099	0.0099	0.8614	1.0000	0.0099	0.0099	0.0099	0.0099	0.6634	0.0198	0.0099	0.3663	0.0198	0.0099	0.0099	0.0099	0.2574	0.6238	0.0099	0.0099	0.0198	0.0099	0.1287	0.0099	0.0297	0.0099	0.0099	0.4356	0.0099	0.0099	0.0792	0.0099	0.0099	0.0099	0.0099	0.0495	0.1683	0.0099	0.0594	0.7921	0.0198	0.0099	0.1188	0.8614	0.0099	0.0495	0.0099	0.0099	0.0099	0.0099
